header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,cleaned_aircraft
"""truly a flight to remember""",Solo Leisure,05/23/18,United States,"  Bangkok to Hong Kong. This was truly a flight to remember. The seat went beyond comfortable; it was luxurious. This was a short flight, so my interest in the IFE was limited to the flight map and the external cameras - what a treat! There were so many flight attendants assigned to the business cabin that the service was personalized and super attentive. Once again, I enjoyed the lounge food so much that I had little appetite left for the elaborate onboard meal. I ordered the ""mild"" chicken curry. I should known that my interpretation of mild and that of the Thai catering service might vary considerably. I had contacted Emirates customer service ahead of the flight with a special request. Their communication was exemplary, and they accommodated me beyond what I Had hoped for. The only drawback to this flight that I can comment upon is that it has spoiled me for flying with anyone else. I will have to adjust my expectations.",A380,Solo Leisure,Business Class,Bangkok to Hong Kong,05/23/18,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""everything worked well""",Couple Leisure,05/21/18,United Kingdom, From the Emirates lounge in Glasgow all the way to Adelaide everything worked well. The flights were good and the transit in Dubai was fine. The first flight had excellent service whilst the flight to Adelaide the staff weren't as attentive. Good airline and I would use them again.,Boeing 777-300Er,Couple Leisure,Business Class,Glasgow to Adelaide via Dubai,05/21/18,yes,Trip Verified,7.0,4.0,5.0,4.0,4.0,4.0,5.0,Boeing 777-300ER
"""Nightmare in the Sky""",Solo Leisure,05/19/18,United States,  Dallas to Dhaka via Dubai. Nightmare in the Sky! Horrible Experience! The flight from USA to Dubai was a chaos! They have messed up the seating arrangement for most of the passengers. They changed my assigned seat. It was an aisle seat but they changed it to a middle seat. And again changed it back as I complained after boarding the aircraft. The interior of the aircraft looked old and not clean. The worst part was food. Chicken/prawn curry with rice. These were my options and I choose chicken curry.  Snack was a small pizza which was a joke. I was hungry for the whole duration of the flight. The ticket was expensive so it was surely not a value for money.  It used to be good but now it is a hell in the sky if you have a long flight. Never again.,Boeing 777-300ER,Solo Leisure,Economy Class,Dallas to Dhaka via Dubai,05/19/18,no,Trip Verified,4.0,2.0,4.0,1.0,1.0,1.0,3.0,Boeing 777-300ER
"""impossible to relax""",Solo Leisure,05/18/18,Thailand," Hong Kong to Bangkok. Departure delayed by an hour due to a technical fault which could not be fixed with another Emirates A380 due to fly HKG non-stop to DXB three hours 25 minutes earlier. Some passengers from that flight were transferred to ours. But why that should have resulted in a lengthy delay to our flight beats me and was never explained. As a result we had to sit on board for over an hour before push-back. Once again I found the revised upper deck layout with 100 or so Y passengers in front of business class especially annoying, this time with what seemed like a major raucous party taking place just a few rows in front of my seat. Having travelled for much of the day and connected in HKG, I found it impossible to relax, the more so as the plane was being refuelled and the lighting full on. How come refuelling took place after the scheduled departure time given that our aircraft had arrived in HKG several hours earlier? Although hungry, I skipped dinner as midnight was just too late for me. All I wanted was try and sleep but even that was difficult with the short flight time. I appreciate that technical issues do occur and I felt sorry for those who had to be involuntarily rerouted via BKK and would as a result arrive late in DXB by six hours or more. For those of us who had elected to take the Bangkok flight, though, this was maddening! The lack of detailed explanations was even more so.",A380,Solo Leisure,Business Class,Hong Kong to Bangkok,05/18/18,yes,Trip Verified,5.0,4.0,4.0,,4.0,4.0,,A380-800
"""service has gone downhill""",Family Leisure,05/16/18,Indonesia,"  Munich to Jakarta via Dubai. The quality and service with Emirates has gone downhill within years. Upon arrival in Munich, I am informed that one of the seats in the A380 is damaged and been told to change the seat. In addition to that, customer ignored the seating requested. The seat is damaged was located in the window seat and only middle seat available, because it is a full flight. Never experience like this before on other airline. The first food was edible and the second one (before landing) was awful. The entertainment on my seat was broken, asking staff for help but ignored this helped. The WI-FI is free for several minutes but you must pay again after that. Last leg on DXB-CGK this is at least better than the MUC-DXB route which everything works fine. The service on the A380 was unacceptable with lack of customer support who decides on changing seat for the customers that flies the A380. In the future, I will avoid their A380 because of this issues with IFE etc. I have sent complaint to the airline which I’m still waiting for any replies about this experience.",A380 / Boeing 777,Family Leisure,Economy Class,Munich to Jakarta via Dubai,05/16/18,no,Trip Verified,3.0,1.0,2.0,3.0,1.0,2.0,1.0,A380-800
"""crew were excellent""",Solo Leisure,05/13/18,United Kingdom," Birmingham to Bangkok via Dubai. First flight, on time boarding done very efficiently due to empty flight. Crew were very nice telling passengers sat in full rows that there were free rows scattered around the plane that they could move to. Plane was brand new, great seats, great entertainment system. Food was 50/50. On time arrival into Dubai but delayed due to having to go to a remote stand and taking a bus that took 40 minutes! to get to the terminal. Got to the terminal and realised I left my onwards boarding pass on the plane but the staff issued me a new one very quickly. Second flight boarded on time as well however, we were an hour late taking off due to the weather but the crew made up for it. Like the first flight, crew were excellent and the food was a lot better on the 2nd leg. Sat on the upper deck, definitely recommend it as the more private cabin and the side compartments are really good. Overall, great experience with Emirates.",A380-800,Solo Leisure,Economy Class,Birmingham to Bangkok via Dubai,05/13/18,yes,Trip Verified,10.0,5.0,5.0,3.0,3.0,5.0,5.0,A380-800
"""I'd paid for extra legroom""",Couple Leisure,05/10/18,Singapore,"  I had prepurchased a seat for extra legroom, but the layout didnt state that the seat is next to the staff kitchen/pantry. And because of this, I receive constant noises and laughter from the staff, even when the public lights are off, waking me up at several times. That's not all, I had paid for extra legroom, but people are constantly knocking my long stretch legs over, causing me to retract my legs all the time. Hence, the irony of purchasing an extra legroom when in fact, I don't get any throughout the flight. To make things worst, there are 2 staff seats opposite our seats, so during landing and take off, 2 staff will be sitting there. And because they are sitting there, I have to retract my  legs again. I'd paid for extra legroom, but in the end, it was a terrible experience. Never again am I going to prepurchase a legroom at the sides of the plane, especially from Emirates. Terrible experience. As for the other experiences, most of the crew were ok, they will serve and do their job, but lack the smile on their face. Not that they look rude or unhappy, it's just not the expression you will receive in flights like Singapore Air. Inflight entertainment was good, great contents, but the touchscreen was terrible. Touchscreen is based on a mouse cursor on screen. If you touch a particular button, you need to do it a few times so that the cursor will understand that it should be at your thumb. Hence, a difficult screen to control.",A380,Couple Leisure,Economy Class,Melbourne to Singapore,05/10/18,no,Trip Verified,1.0,1.0,1.0,4.0,1.0,1.0,3.0,A380-800
"""I was disappointed""",Solo Leisure,05/08/18,United Kingdom, Auckland to London via Dubai. First time to fly on Emirates and was expecting excellent service for a big airline fleet. I was disappointed. The flight attendants seemed unhappy and unenthusiastic with what they are doing. They seemed robotic and lacked human compassion that I’ve experienced with other airlines. The seats are cramped with little leg room that I couldn’t even get pass (seated on the window side) without having to wake the sleeping person next to me. I know that economy class isn’t really first class service but I had the best time flying with Qantas!,A340,Solo Leisure,Economy Class,Auckland to London via Dubai,05/08/18,no,Trip Verified,3.0,2.0,1.0,4.0,4.0,4.0,5.0,A340
"""happy with my experience""",Couple Leisure,05/07/18,United Kingdom,"  We flew from London to Manila via Dubai and back. Boarding wasn't stressful. Legroom was good and the seats had a good recline. It was enough for me to sleep when I needed to. However, I did get very numb towards the end of the flights. At 8-9 hours per leg, this wasn't unexpected. The quality of the food was good. I had the gluten free meal and my partner the normal. Both flavour, variety and good portion sizes. I didn't feel like the gluten free option meant I had substandard food, so I would take this into account if you have any intolerances. The entertainment was very good. We were spoilt for choice for films and TV shows, and the inflight status was a nice extra. The larger screens were on two of our flights, and were much more responsive than the smaller, older versions on our other two flights. For the smaller screens, we just used the physical controllers, but these were easy enough to use too. All of the staff were highly professional, prompt and courteous. We had a few smiles as well.  All in all I'm very happy with my experience from Emirates. The flight weren't cheap at £580 return, but there were many cheaper options available. I'm glad we chose to pay the extra £100 for Emirates as the extra comfort went a long way for such a big journey.",A380,Couple Leisure,Economy Class,London to Manila via Dubai,05/07/18,yes,Trip Verified,10.0,4.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""very user-friendly""",Couple Leisure,05/05/18,Netherlands," This flight was the typical Europe to Dubai flight. Every aspect of the flight in the hands of Emirates went well. The Emirates driver picked us up spot on time and delivered us to Amsterdam airport where we quickly dropped our luggage. (We were already checked in using the Emirates app which is very user-friendly). Departure was on time and we were actually more often addressed in Dutch then when flying KLM! There was a large contingent Dutch-speaking flight attendants on board. Even the captain appeared to be Dutch and all announcements were made in Dutch, English and Arabic. Priority cards were given for immigration in Dubai which went quite fast especially considering the huge amount of flights arriving around midnight in Dubai. Luggage was quickly delivered and we were driven by an Emirates driver to our hotel. Whatever negatively influenced the experience was Amsterdam Schiphol Airport. Unhelpful and unfriendly security agents, an overcrowded Aspire lounge and a total chaos at the gate.",A380,Couple Leisure,Business Class,Amsterdam to Dubai,05/05/18,yes,Trip Verified,8.0,4.0,3.0,3.0,2.0,3.0,4.0,A380-800
"""seats changed without notice""",Couple Leisure,05/01/18,Singapore,"  Singapore to Paris via Dubai. Our seats were changed without notice.I would like to clarify that the seat from Dubai to Paris was already allocated to us in Singapore Changi Airport. Our seats was arrange seated together. When we arrived in Dubai, they replaced us with another boarding pass. As for the luggage, They damaged my luggage with one wheel missing and replaced me with a smaller and Low quality luggage. ",A380,Couple Leisure,Economy Class,Singapore to Paris via Dubai,05/01/18,no,Trip Verified,1.0,2.0,1.0,3.0,1.0,1.0,3.0,A380-800
"""condition of toilets very poor""",Couple Leisure,04/30/18,United States,"  Dubai to New York JFK. The service was very good, the crew was efficient and responsive. The condition of the toilets was very, very poor. The number of passengers using the toilets warrants that someone clean the toilets, including the floor, at regular intervals during a 13 hour flight. It is not sufficient to clean only before and after a flight. I realize crew may not see this as within their job but there is something off kilter about handing out scented warm towels, booties and toothbrushes but expecting passengers to use filthy toilets.",A380-800,Couple Leisure,Economy Class,Dubai to New York JFK,04/30/18,yes,Trip Verified,6.0,5.0,5.0,3.0,5.0,5.0,5.0,A380-800
"""two broken seats in two flights""",Family Leisure,04/29/18,United Kingdom," I used to brag about using Emirates but no more. Had two bad flights with them this time. Dirty tray tables, blocked toilet sinks, dirty toilets and two broken seats. Seat would not stay in one position, every time I moved the seat reclined. Interesting the cabin crew tell you seats must be in an upright position for takeoff, if it IS broken they don’t care! Had two broken seats in two flights. Customer services don’t care unless you are what they want (Business and First class). Not wasting any more money on them when you can get a budget flight at a fraction of the cost and the same service.",Boeing 777,Family Leisure,Economy Class,Bali to Newcastle via Dubai,04/29/18,no,Trip Verified,4.0,1.0,4.0,4.0,3.0,1.0,5.0,Boeing 777-300ER
"""upper cabin is spacious""",Solo Leisure,04/23/18,United Arab Emirates,"  Dubai to Bangkok. Emirates have an economy class seats on the upper deck of their A380. I got the chance to reserve the seat in advance. The upper cabin is spacious than the lower cabin with 2-4-2 layout. Add to that the side storage bins for those seating in the window seat. The flight was full because of the Songkran Festival in Thailand. Drinks and a small pack of biscuit was given right after take off. Lunch was serve almost two hours into the flight which i guess is a bit early for a 6 hour flight. Drinks and wet towel were provided before we land. The front lavatory on the upper deck are spacious. Unfortunately, those seating on the upper deck cannot go down the lower deck to roam and stretch their legs. Emirates' ICE is was superb. I got to enjoy the view from the plane's outside camera.",A380,Solo Leisure,Economy Class,Dubai to Bangkok,04/23/18,yes,Trip Verified,8.0,5.0,4.0,4.0,4.0,5.0,5.0,A380-800
"""standards have really dropped!",Business,04/23/18,India,  Hyderabad to New York via Dubai. Emirates standards have really dropped. Cons: Emirates b class lounge in terminal b in morning time is a joke. Food is consistently bad in these lounges and there is no a la carte. There is not a single chair to sit on. Horrible experience. Very noisy with spoons and plates clattering all the time. There are a ton of food options but all of them mass produced and on a hot dish. In flight experience also Emirates has no a la carte concept. Either you chose from that menu in those 3 hours or forget about it. No good soups or mild flavours they again gs for quantity over quality. During the entire time of 15 hours cabin crew is going by back and forth making sleep difficult. TheWorst part however is the fact that there is lounge in JFK. This is simple not acceptable. They give a 40 usd voucher which you can Use in any restaurant but almost all restaurants were closing. So I had a glass of wine and fries in McDonald’s. This is unacceptable. Pros: flight attendants on all sectors were very nice and tried to make up for an old and tired airline. Overall unless you aren’t price conscious or have to use up some old miles stay away from emirates,A380,Business,Business Class,Hyderabad to New York via Dubai,04/23/18,no,Trip Verified,3.0,4.0,4.0,1.0,2.0,5.0,4.0,A380-800
"""love their excellent service""",Solo Leisure,04/16/18,Switzerland,"  Muscat to Zurich via Dubai. I love their excellent service on the ground and in the air, the best inflight entertainment system; excellent crew, food and wine on board is superior. I  cannot fault them.",A380 / Boeing 777,Solo Leisure,Business Class,Muscat to Zurich via Dubai,04/16/18,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""Wonderful cabin crew""",Solo Leisure,04/16/18,Switzerland,"  Zurich to Muscat via Dubai. An excellent trip with Emirates from the chauffeur pick-up in Zurich till arrival at Muscat. Wonderful travel in comfort and style on the A380 and B777. Excellent fast track in Dubai and smooth airport transfer from Gates A to Gates C. No delays and both flights on schedule. Wonderful cabin crew, super friendly and attentive. Food and drinks were great and IFE amazing. ",A380,Solo Leisure,Business Class,Zurich to Muscat via Dubai,04/16/18,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""Incompetence of check-in personnel """,Couple Leisure,04/16/18,Singapore,"  Sydney to Christchurch. Incompetence of Emirates check-in personnel that may cost me over $400 On April 8, 2018, my wife and I were travelling on EK412 from Sydney to Christchurch. We were carrying an expensive PC as a gift to our daughter for her graduation from the university that we purchased in Australia and we planned to claim tax refund. It’s a common knowledge (and a common sense, too) that goods need to be produced to a tax refund officer to obtain tax refund. To our knowledge, at Sydney Airport tax refund office is located beyond check-in, immigration and security and I intended to bring the PC there. The box was pretty bulky, and I was told that I had to check it in. It was a natural question that I asked the check-in assistant – how was I supposed to produce it to a tax refund officer if I do that. The junior assistant who was checking us in didn’t know the answer and asked her supervisor by name David. David assured us that producing receipt to a tax refund officer was sufficient to claim tax and that goods don’t need to be necessarily produced if they’re checked in, so we checked the box in along with our luggage. At the tax refund office, the officer requested me to produce the goods besides the receipt, which I was unable to do. The officer then said that I had to produce it to a tax refund officer located before check-in point, of which the airline should have informed me. When I replied that the airline advised me that the good don’t need to be produced to a tax refund officer and producing receipt alone is sufficient to claim tax refund, the officer still accepted my claim but it’s now up to decision of the main office in Canberra, whether I will receive tax refund after not being able to produce the goods. Thus, the incompetence of Emirates check-in personnel in matters of tax refund may cost me over $400 if my claim is ultimately not entertained. What are you going to do about this, Emirates?",A380,Couple Leisure,Economy Class,Sydney to Christchurch,04/16/18,no,Trip Verified,1.0,2.0,3.0,3.0,1.0,1.0,,A380-800
"""It was horrible""",Family Leisure,04/15/18,Australia,"  Melbourne to Kuala Lumpur via Singapore. Bought Emirates tickets but fly with Qantas and Jestar. Used to fly Emirates and the services was pretty good so we went back to Emirates. Both Qantas and Jestar was ok too but this whole codeshare thing had really ruin our family trip. Ticketing was not transferred properly from one airline to the other airline and we have had to scrumble to find our own way. When customer purchased a ticket from one airline their expectation is solely to that particular airline. Otherwise we could have chosen other airlines. Nearly missed our flight. Treated poorly at counter and was told it was ticketed by another airline so we didn't get to choose seats, food or nothing at all. Essentially a subclass customers. We did not know nor had chosen Qantas and Jestar. Not once heard of Emirates other than paying more and handed to other airline including a budget airline.  We have had to carry our infant on hand despite empty seats are available. It was horrible.  Totally unacceptable.",A380,Family Leisure,Economy Class,Melbourne to Kuala Lumpur via Singapore,04/15/18,no,Trip Verified,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A380-800
"""terrible and not acceptable""",Family Leisure,04/10/18,United States," Aircraft interior space including food and beverages were more than average. But the service by the ground and cabin crew were terrible and not acceptable. Unbelievably, they do not respond to the guests. They do not say a word other than ""commands"" to guests. They talk only when they have to instruct guests. I did not hear thank you, welcome, sorry, even when they forgot to distribute food and beverages to us. Not sure it is their culture or lack of company training, but, they looked quite rude to me. Furthermore, older aircrafts we flew with the seats were non reclining, with touch screens where cursors pointed at where I did not touch with a hard to select menu. Delta or other US airlines are much more friendly and polite.",A380,Family Leisure,Premium Economy,Atlanta to Dubai via New York JFK,04/10/18,no,Trip Verified,3.0,4.0,1.0,4.0,1.0,2.0,4.0,A380-800
"""plenty of latest movies to watch""",Solo Leisure,04/09/18,United Kingdom,"  London Heathrow to Dubai. Overall an excellent flight. The IFE was superb and plenty of latest movies to watch. I had a window seat and there did feel like there was a lot of room - I think the A380 does it for me. The food was delicious, although my friend and I both wanted the lamb but there was a shortage so were given the chicken with gnocchi - which was very good. The staff on board were very good and helpful.",A380,Solo Leisure,Economy Class,London Heathrow to Dubai,04/09/18,yes,Trip Verified,9.0,5.0,2.0,5.0,1.0,1.0,5.0,A380-800
"""Emirates wins by a mile""",Solo Leisure,04/09/18,United Kingdom," This was an absolutely fantastic experience on Emirates first class from Dubai to Manchester on EK17 on April 8th. Its been a while since I last flew with Emirates. When compared with the likes of British Airways, Etihad and American Airlines, Emirates wins by a mile. Todays flight was excellent. The First class cabin was lovely, the onboard Spa was truly refreshing and spacious. I was well looked after by the head purser on this flight. The food and beverage offer were of high quality, and last but not least, the ICE entertainment was phenomenal - you are literally spoilt for choice. The chauffeur driven services in both destinations were excellent and extremely useful; a superb feature when travelling premium. The only downside is the Wifi connection is slightly slow and sluggish. It is complimentary however when travelling premium. I would recommend flying with Emirates again and cant wait to fly again with them. Well done for a fantastic service!",A388,Solo Leisure,First Class,Dubai to Manchester,04/09/18,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,4.0,5.0,A380-800
"""no desire to help and no smile""",Family Leisure,04/09/18,Hong Kong," Flew Hong Kong to Dubai. In general, the service of Emirates has been bad on my recent experience, that included check-in and in-flight. But what makes its service appalling is not just the no desire to help and no smile, it’s the cabin crew’s attitude of too proud to serve the customers. Honestly, I can withstand bad service from an airline, but an inappropriate attitude is something that prevents me from choosing Emirates again, as I don’t think any customer deserves that.",Boeing 777-300BR,Family Leisure,Economy Class,Hong Kong to Dubai,04/09/18,no,Trip Verified,1.0,2.0,1.0,2.0,1.0,1.0,3.0,Boeing 777-300ER
"""staff were pleasant and friendly""",Solo Leisure,04/09/18,Thailand," Flew Emirates from Bangkok to Zurich via Dubai. After having been on Gold and Silver status on Emirates and having become very dissatisfied with especially the service in business class, I was very hesitant to fly Emirates again. This time (in economy!), I cannot complain at all. Both flights were full full but staff were pleasant and friendly. A nice change from the arrogance the staff often display in business class!",A380 and Boeing 777-300,Solo Leisure,Economy Class,Bangkok to Zurich via Dubai,04/09/18,yes,Trip Verified,7.0,4.0,5.0,4.0,4.0,4.0,4.0,A380-800
"""resting on its historic reputation""",Couple Leisure,04/09/18,United Kingdom,"  Manchester to Cape Town via Dubai. We chose to experience Emirates based on their reputation, despite taking a longer route via DBX. Apart from the usual issues with the in flight entertainment screen, the flight was fine. Cabin temperature could have been slightly warmer for comfort. The second leg from Dubai to Cape Town on an older 777 was much less than perfect. On one of our seats the overhead light was not working and given this was a night flight needed. Whilst on the stand I reported this to a member of staff who told me that they could not move us to another seat as we were a couple. We had the usual issues with the in flight entertainment screens with random actions and scrolling cursors. The area we were seated in was extremely cold and my wife ended up using four of the airline blankets to try and be warm enough to get some sleep. I went for a walk around the economy area and found in all other areas the temperature was adequate. We appeared to be sat below an air con portal blowing cold air. This affected say ourselves and another dozen or so passengers who could be spotted by their huddled looks with coats and blankets. When I asked about this I was told that “Computer says” it’s 25 degrees. In our zone it was probably about 12 degrees. The member of staff was dismissive. It would have been bad enough if they had agreed but apologised that nothing could be fixed in-flight. I decided to seek the supervisor. In regards to the heating they did accept there was a fault and that staff should have not tried to ignore the issue. On the matter of the overhead light they said that we could have been reseated in row 50 as there was space at take off. They agreed with comments about the issues and the poor customer service. They said they would take immediate verbal action with staff in flight and would file a report regarding my issues at base. They presented me with a business card without names on and an email address to write to. On arrival in Cape Town I sent a comprehensive report to the alleged customer service email on the business card. I received a curt rejection pointing me to the on-line complaints form. Emirates customer complaints response indicates that their target is to respond in 30 days. Having heard nothing before we were heard nothing before we were due to fly back home. On my return via Johannesburg, I asked to speak to the Emirates group side manager, to see if anything had been planned in response to our complaint. After a long period of time the manager informed me that it was with the UK Customer Relations unit and still under investigation. To date still no contact some 37 days later. On the return trip home my wife encountered a problem with a member of staff pointing her finger to get out of the way effectively, without saying a word. Another poor PR exercise was a steward reading a tablet and in the hearing of others selecting a passenger individually and indicating they were a frequent customer and if there is anything I can do for you my name is...  My general feeling is that Emirates is resting on its historic reputation. Having flown Qatar Airways they are still maintaining customer services a better standard. In short not worth the effort of flying Emirates!",A380 / Boeing 777,Couple Leisure,Economy Class,Manchester to Cape Town via Dubai,04/09/18,no,Trip Verified,3.0,3.0,2.0,5.0,4.0,2.0,2.0,A380-800
"""Terrible service""",Family Leisure,04/06/18,Hong Kong," Terrible service. Crew members were all too proud to be serving customers - no smile, no thank you, no please. I don’t know if this was arrogance or they were simply too proud to be serving customers. There were supposed to be a choice of main course, however, all I got was ‘grilled chicken’ without being offered a choice and the meal tray was passed from behind me so I had to turn my back to take the tray. Totally unprofessional. I don’t know what the hype is about with Emirates. I will never travel on Emirates again unless I have to without being offered a choice. I also want to mention that the check in staff at DXB was terrible. Again no smile, no welcome, no nothing. Basically not interested in serving customers.",Boeing 773ER,Family Leisure,Economy Class,Dubai to Hong Kong,04/06/18,no,Trip Verified,1.0,3.0,1.0,1.0,1.0,1.0,3.0,Boeing 777-300ER
"""Staff were rude and unfriendly""",Business,04/06/18,Australia," Emirates have become a low cost carrier. Flew Christchurch to Sydney on A380 in business class, EK413. Whilst this is a short flight I have paid a premium for business class, Emirates are now at a race to the bottom for service. The A380 business class is the new economy class. There are so many people to cater for staff can not handle it. No pre-dinner drink offered and had to ask twice for a drink. Staff were rude and unfriendly. Dinner was inedible and no drink service, again had to ask for a glass of wine and by the time it came out it was the end of service. Last time I flew Emirates I had noticed the deterioration of service. I didn't think it could get any worse.",A380,Business,Business Class,Christchurch to Sydney,04/06/18,no,Trip Verified,1.0,3.0,1.0,1.0,5.0,1.0,5.0,A380-800
"""experience was very average""",Couple Leisure,04/02/18,Australia,"  Bangkok to Sydney. The boarding time was incredibly confusing with the boarding process slightly disorganised. We were  greeted onboard with champagne before take off. Once airborne, the dinner service was incredibly drawn out from taking orders to serving the dishes and drinks. From what I can see most of the cabin crew looked tired and wanted the process to be over, with not many smiles going around only person stood out when she introduced herself. I managed to get 3-4 hours of sleep as the seat was quite comfortable but I can see the hard product is ageing. Breakfast was very unsatisfactory, basically fruit and bread which is nothing exciting for me to talk about. The IFE was amazing, with its many options I was entertained the whole flight. Overall, the experience was very average and not up to scratch and by far it's my least favoured experience with Emirates in a premium cabin.",A380-800,Couple Leisure,Business Class,Bangkok to Sydney,04/02/18,yes,Trip Verified,5.0,3.0,2.0,2.0,3.0,4.0,4.0,A380-800
"""excellent value for money""",Business,03/31/18,United Kingdom,"  Gatwick to Bangkok via Dubai. The car arrived 15mins early on an icy morning, very nice driver who took a slightly longer but safer route to Gatwick. Orderly at check-in, swiftly through security and into the Emirates lounge. Breakfast with newspapers and excellent coffee. The lounge staff are always subtly cheerful. Uneventful flight through to Dubai. The ICE entertainment and Wifi excellent. Easy transit to the business lounge and boarding connecting flight is directly from the lounge. Slept most of the flight into Bangkok, but woken by cabin crew in time for breakfast. Arrived on time. Fast track voucher gets you through Bangkok Suvarnabhumi immigration very efficiently, very long queues outside the priority lanes. 15-20 min wait for baggage to arrive. Emirates driver waiting at exit 5 as usual, immaculate car with the day's papers and bottles of chilled water at your disposal. I use this service 4-5 times a year, it is just so reliable and excellent value for money.",A380,Business,Business Class,Gatwick to Bangkok via Dubai,03/31/18,yes,Trip Verified,8.0,4.0,5.0,4.0,4.0,5.0,5.0,A380-800
"""have become a very ordinary airline """,Business,03/30/18,Netherlands," Flew Amsterdam to Dubai. Emirates has some of the laziest cabin crew in the industry. The quality of their service has been tanking for years now and whereas small details used to set a new standard, most of these details are no longer offered. I have flown Emirates many times and somehow they never manage to leave on time - and rarely do they make up for lost time. This flight for example landed 40 minutes past schedule. When you leave later and spend more time on board, details start to matter. Like for example how long it takes before meals are served. But even as important as when the meal trays are collected. The first they try to stall for obvious reasons, they used to serve 2 meals on these flights and now 1 and some crackers. The later they serve it, the less obvious the difference. The second causes unnecessary annoyance. When you’re in a window seat and have to wait for 1 hour and 40 minutes for them to clear the trays - and you have to use the toilet - you’re going to start having doubts about their service. Their crew are more occupied getting to know each other and sharing party stories than being involved in the service they should offer. In the absence of alternatives like Qatar Airways, you’re almost forced to fly Emirates to most of the Middle East, which is another annoyance. I am starting to give up hope the Emirates of the 2008-2013 era will ever return. They have become a very ordinary airline with nothing special to offer except a large screen (which I don’t even use because I prefer to sleep).",A380,Business,Economy Class,Amsterdam to Dubai,03/30/18,no,Trip Verified,5.0,4.0,2.0,3.0,3.0,2.0,4.0,A380-800
"""Very disappointing""",Solo Leisure,03/29/18,South Africa, Flew Johannesburg to Beijing via Dubai with Emirates. Very disappointing! No coffee was served. I asked 3 times for a cup of coffee but didn't get it. The 'breakfast' consisted of frozen pieces of fruit which had been too cold to eat for someone who has got senstive teeth. The croissant was dry and nothing to swallow it down. Only tea was served. I don't drink tea.,A380-800,Solo Leisure,Economy Class,Johannesburg to Beijing via Dubai,03/29/18,no,Trip Verified,3.0,3.0,1.0,1.0,4.0,1.0,,A380-800
"""Excellent in all respects""",Solo Leisure,03/26/18,Myanmar," Flew Phnom Penh to Yangon. Excellent in all respects. In particular, the plane appeared very new/clean, and the IFE was outstanding - large size screen with excellent choice. You could even watch live Premier League games. All cabin crew were extremely friendly and obliging, clearly taking pride in their jobs. The only negative was the price, Emirates had significantly raised the price of the flight from a few weeks earlier, when I previously took the same flight.",Boeing 777,Solo Leisure,Economy Class,Phnom Penh to Yangon,03/26/18,yes,Trip Verified,8.0,4.0,5.0,4.0,3.0,2.0,5.0,Boeing 777-300ER
"""40 minutes standing""",Couple Leisure,03/23/18,United States," Flew Emirates from New York JFK to Milan. The flight itself was good, but! This is a big but! They do not call groups, they form lines like cattle and make you wait! In my case 40 minutes standing in very warm conditions, 10 minutes late. I am extremely unhappy with their boarding process, horrible.",A380,Couple Leisure,Economy Class,New York JFK to Milan,03/23/18,no,Trip Verified,5.0,3.0,3.0,2.0,1.0,2.0,5.0,A380-800
"""have seen a constant decline""",Family Leisure,03/21/18,United Arab Emirates,"  Dubai to Rome. I'm so disappointed. I have been flying with EK since 2002 and in the last 3 years i have seen a constant decline. It has now hit the bottom. Travelling to Rome has been a disaster from the start. At online check in, i could not find seats next to my 9 year old son. I couldn't book his seat without paying extra 50$ (my seat was free because of skywards) on top of the 900$ premium cost of the ticket itself (seriously this is what you claim in your radio ads favouring families). Called the call center. First time i was told there are no seats available (yet the app shows seats on rows 22, 23, 36 and 50). The second time I was told these seats are not eligible for children (seriously? bassinet seats not eligible?) and third time i was asked for 90$ to change my seats. Bottom line, no longer worth the premium paid. It used to be worth every cent extra, now even FlyDubai offers a better service (and you dont even pay for seats at check in!) Sad,  demise of EK myth.",Boeing 777,Family Leisure,Economy Class,Dubai to Rome,03/21/18,no,Trip Verified,2.0,3.0,3.0,3.0,1.0,1.0,3.0,Boeing 777-300ER
"""the same lack of service""",Couple Leisure,03/16/18,United States,"  Athens to Newark. On a scheduled 11 hour flight from Athens, not once except with meals were refreshments offered, including water, and beverages, etc. This was a flight during daylight hours so the cabin crew did not have a reason to not offer drinks. When a person requested a beverage it was obvious that the cabin crew was annoyed with the request, even though their ads on the inflight entertainment was stressing to stay hydrated during the flight. This was just the opposite of our experience on Singapore airline where the cabin crew came through about every 30 minutes offering drinks, sandwiches, fruit and candy bars including Toblerone candy bars. I was surprised n the difference in service between Emirates and Singapore Airlines. We encountered the same lack of service from Newark to Athens as we did on the longer return trip.",Boeing 777,Couple Leisure,Economy Class,Athens to Newark,03/16/18,yes,Trip Verified,6.0,5.0,2.0,2.0,5.0,4.0,4.0,Boeing 777-300ER
